"","No.","Title","Length","song_num","title","song_length"
"1",1,"""Identity Crisis""","2:58",1,"Identity Crisis",58
"2",2,"""Phoenix Ignition""","3:31",2,"Phoenix Ignition",31
"3",3,"""In Your Hands""","2:47",3,"In Your Hands",47
"4",4,"""To What End""","3:04",4,"To What End",4
"5",5,"""Ultra Blue""","3:02",5,"Ultra Blue",2
"6",6,"""As the Ruin Falls""","2:04",6,"As the Ruin Falls",4
"7",7,"""The Next Day""","0:57",7,"The Next Day",57
"8",8,"""A Torch to End All Torches""","4:10",8,"A Torch to End All Torches",10
"9",9,"""Unquestioned Answers""","4:23",9,"Unquestioned Answers",23
"10",10,"""Under Par""","4:46",10,"Under Par",46
"11",11,"""T & C""","4:00",11,"T & C",0
"12",1,"""Image of the Invisible""","4:14",1,"Image of the Invisible",14
"13",2,"""Between the End and Where We Lie""","3:56",2,"Between the End and Where We Lie",56
"14",3,"""The Earth Will Shake""","4:29",3,"The Earth Will Shake",29
"15",4,"""Atlantic""","4:02",4,"Atlantic",2
"16",5,"""For Miles""","4:27",5,"For Miles",27
"17",6,"""Hold Fast Hope""","4:01",6,"Hold Fast Hope",1
"18",7,"""Music Box""","4:46",7,"Music Box",46
"19",8,"""Like Moths to Flame""","4:26",8,"Like Moths to Flame",26
"20",9,"""Of Dust and Nations""","4:50",9,"Of Dust and Nations",50
"21",10,"""Stand and Feel Your Worth""","5:52",10,"Stand and Feel Your Worth",52
"22",11,"""Red Sky""","4:17",11,"Red Sky",17
"23",1,"""Firebreather""","4:24",1,"Firebreather",24
"24",2,"""The Messenger""","2:09",2,"The Messenger",9
"25",3,"""Backdraft""","4:08",3,"Backdraft",8
"26",4,"""The Arsonist""","4:13",4,"The Arsonist",13
"27",5,"""Burn the Fleet""","3:46",5,"Burn the Fleet",46
"28",6,"""The Flame Deluge""","3:27",6,"The Flame Deluge",27
"29",1,"""Broken Lungs""","4:14",1,"Broken Lungs",14
"30",2,"""The Sky is Falling""","4:21",2,"The Sky is Falling",21
"31",3,"""A Song for Milly Michaelson""","5:07",3,"A Song for Milly Michaelson",7
"32",4,"""Daedalus""","6:00",4,"Daedalus",0
"33",5,"""As the Crow Flies""","2:22",5,"As the Crow Flies",22
"34",6,"""Silver Wings""","2:10",6,"Silver Wings",10
"35",1,"""All the World Is Mad""","3:59",1,"All the World Is Mad",59
"36",2,"""The Weight""","5:00",2,"The Weight",0
"37",3,"""Circles""","4:19",3,"Circles",19
"38",4,"""Doublespeak""","4:51",4,"Doublespeak",51
"39",5,"""In Exile""","3:53",5,"In Exile",53
"40",6,"""At the Last""","4:05",6,"At the Last",5
"41",7,"""Wood and Wire""","4:10",7,"Wood and Wire",10
"42",8,"""Talking Through Glass/We Move Like Swing Sets""","4:30",8,"Talking Through Glass/We Move Like Swing Sets",30
"43",9,"""The Great Exchange""","3:33",9,"The Great Exchange",33
"44",10,"""Beggars""","5:24",10,"Beggars",24
"45",1,"""Yellow Belly""","3:58",1,"Yellow Belly",58
"46",2,"""Promises""","4:09",2,"Promises",9
"47",3,"""Blinded""","4:24",3,"Blinded",24
"48",4,"""Cataracts""","4:03",4,"Cataracts",3
"49",5,"""Call It in the Air""","4:37",5,"Call It in the Air",37
"50",6,"""Treading Paper""","4:41",6,"Treading Paper",41
"51",7,"""Blur""","3:14",7,"Blur",14
"52",8,"""Words in the Water""","6:26",8,"Words in the Water",26
"53",9,"""Listen Through Me""","4:37",9,"Listen Through Me",37
"54",10,"""Anthology""","4:24",10,"Anthology",24
"55",11,"""Disarmed""","4:49",11,"Disarmed",49
