"","title","lyrics"
"1","""All Eyes""","

The weight of the world is on my shoulders
And it's just too much to bear.
It's not that I'm growing callous,
I'm just too tired to care.
So drop your expectations,
Let go of any dependencies,
Forget your disapproval
'Cause I'm setting myself free.
Looking up to me,
Looking down on me,
And hazarding those sidelong glances.
I'm not too sure of what they see.
All I know is their views are slanted.
So drop your expectations,
Let go of any dependencies,
Forget your disapproval
'Cause I'm setting myself free.
(All eyes on me.)
I can't take the pressure.
(All eyes on me.)
Breathe without making a sound.
(All eyes on me.)
Don't expect perfection
(All eyes on me.)
'Cause I won't fail to let you down.
(All eyes on me.)
I can't take the pressure.
(All eyes on me.)
Breathe without making a sound.
(All eyes on me.)
Don't expect perfection
(All eyes on me.)
'Cause I won't fail to let you down.
I won't fail to let you down.
I won't fail to let you down.
"
"2","""Lockdown""","

once you were free and you stretched out your wings to the sky
sky was the limit, cap on your creativity
team against team could we even the score
our hearts kept the rhythm, that forbidden beat
your talons now grip like steel to the weight they chained you to
two in the morning, you can't hear the rumbling train
trained not to think or question anything
the chains that had bound you are now obsolete
please open your eyes, everything they told you was a lie,
think for yourself 
won't you even try to look past all of those lies
think for yourself, think for yourself!
for generations the answer has always been no
no one remembers and nobody cares to ask
asking a question is deemed criminal and slowly the silence grows
on the growing list of the mindless, by your name a check
checkmate the situation if we all toe the line
line up and never open up your eyes
and don't even think about raising your voice
leave your mind without thought (they fill it)
identity erased
place refuse in your sight (you swill it)
yeah it seems they got you bound (bound tight)
yeah it seems they got you beat
the chains that held you down (you down)
they now hang obsolete
"
"3","""Opaque""","

when you can want something you hate,
and lie in perfect honesty
from every angle things are crystal clear
when you doubt things of which you're sure
something seems just beyond your hand
you wonder if your living second rate
is my mind too open,
is my heart still beating
do my eyes betray a hint of loneliness
or an ambiguity,
i only want to see the light
when every word makes perfect sense
in every single line you read
but every single line seems to conflict
and the perspectives that i see
a picasso reality
i'm seeing truth through sheets of opaque glass
where does reason stop, and romance begin
i feel the ghosts hitchhiking on the wind
and since when did following your heart become a sin,
I only want to see the light
"
"4","""T & C""","

In my head everything was perfect
and every note resounds in harmony
all I seem to offer up are discords
and every note I sing sounds out of key
and every time I play with passion
I start breaking strings
and my voice cracks
when I sing from my heart
guess that's the price
I've got to pay to know that I'm alive
this melody is tearing me apart[x2]
So now what do I have to show
and what price do I have to pay
But like a saiyan I won't grow
unless I'm battered in the fray
'Cause we're all in the same machine
each one with his own broken dreams
passion gives way to failure
so let's all try and understand
you take my hand and I'll take yours
you take my hand and I'll take yours
take my hand and I'll take yours
let our passion bleed
"
"5","""Second Sight""","

Let's go!
How many times have I sit when I should stand?
How many times have my dreams been just beyond my hand?
How many times have I compromised?
How many times have I told myself these lies?
How many? How many?
How many? How many?
How many times will I walk the beaten path?
How many times will I end up dead last?
How many times will I watch it pass me by?
How many times will I bury what's inside?
Well I know someday
I will find the means
and I will find the time
and I will find a way
to realize my dreams and leave it all behind[x3]
"
"6","""Freedom""","

no time for anything at all
no time to reason or question direction
but I won't let myself fall
I'll just keep pushing 'til the end
I hope that I will find my way (find a way) [x2]
when it's all been said and done
I really think you'll miss it once it's gone
as time passes I get scared
where will I end up and will it be good enough
will it work itself out
or will I be stuck here once again
I hope that I will find my way (find a way) [x2]
when it's all been said and done
I really think you'll miss it once it's gone
I'll keep my eyes open wide
and try not to blink
it's just a matter of knowing where to look
cause sometimes things fall apart,
my walls crumble on me,
but I'll keep trying, and trying,
and fighting until I am free
I hope that I will find my way (find a way) [x2]
when it's all been said and done
I really think you'll miss it once it's gone
"
"7","""Better Days""","

What's the use in hoping
when you always get let down
what's the use in smiling
when all you wanna do is frown
I'm drowning, in a sea of hate-filled eyes
and she's screaming
but no one hears her cries
Is anybody hear to see a band?
Did anybody come to hear a song?
Does anyone believe in magic?
Is anybody here to sing along?
People shove me down 
they're coming from all sides
and as I look around
something just don't seem right
I feel so all alone
though the people inundate
I see no joy or desperation
only senseless hate
Is anybody hear to see a band?
Did anybody come to hear a song?
Does anyone believe in magic?
Is anybody here to sing along?
Is this the same scene (same scene)
that I used to think I loved
or was I just naive (naive)
and were they always out for blood
I've seen better days (better days)
but I know that we can make a change
I've seen better days but we can change!
I've seen better days (he's had better days) [x6]
we can make a change
"
"8","""Identity Crisis""","

Image marred by self-infliction
Private wars on my soul waged
Heart is scarred by dual volitions
Juxtaposed and both engaged
Kindle flame, a test of faith
Pray help me see it through
I put all my trust in you
Refine hate and love
Fall afresh on me
End this crisis of
Identity
Draw this darkness out like poison
Stab, retrieve, again decline
Help me drive the dagger deeper
Trace with me explicit line
Take this blade, a test of faith,
And strike me deep and true
I put all my trust in you
Refine hate and love
Fall afresh on me
End this crisis of
Identity
This is my voice, all shadows stayed this is my heart, upon the altar laid
Please take all else away, hear my cry, I beg, I plead, I pray
I'll walk into the flame, a calculated risk to further bless your name
So strike me deep and true, and in your strength I will live and die both unto you.
"
"9","""Phoenix Ignition""","

Like a phoenix ignition
like a crematorium
Like a swelling volition
from the barrel of a gun
From the ashes and the embers
like a rocket I'll ascend
Like a cry gone up for a fallen friend
Like a cry gone up for a fallen..
Like a phoenix ignition
like a crematorium
Like a swelling volition
from the barrel of a gun
From the ashes and the embers
like a rocket I'll ascend
Like a cry gone up for a fallen friend
I'LL ASCEND
Everyday tear down the walls
till cornerstones remain
Coming ONE STEP CLOSER ALL THE TIME
And although we'll never reach perfection ALWAYS PERSIST TO TRY
No regrets, just rebirth
move forward, and ignite.
Incandescent Reinvention
a new renaissance
A NEW FIRE EACH DAY
A NEW FIRE EACH DAY...DAY...DAY...DAY!
"
"10","""In Your Hands""","

bound to this couch, i lie in waiting 
watching wind blown memories slip by my window sill
i can't fall asleep, voice in my head disturbs me
waking nightmares keep, have my cries fallen on deaf ears
can you hear me or am i....
talking to myself again, is there anybody listening
are you taking this in, am i wasting my breath
tell me, is the wind in your sails worth everything you give
are you looking for something, forgiveness
i leave it up to you, i guess i'm better off removed
because the situtations growing too thick,
in your hands
could it have been something i said,
or was it something that i did
did i ruin my chance, have you written me off
tell me where did i cross the line,
and can i work my way back this time
will i always regret this decision
i leave it up to you, 
i hope you find a good excuse because 
i've given about all that i can give, 
in your hands
are you taking this in, am i wasting my breath
did i ruin my chance, have you written me off[background]
i could try to count the times that i've been through this in my mind,
but i'm running out of fingers and i don't have that much time
are you taking this in, am i wasting my breath
did i ruin my chance, have you written me off
"
